Client;Full Client Profit;Invoice number;Full invoice profit;Product;Full Product Profit;Price net;Purchase net;Single Product Profit;Quantity
ZAOPATRZENIE SZKÓ£ MATEUSZ R¥CZKA;178.61;1/12/2013;178.61;ZABAWY W INDIAN £AMIG£ÓWKI;0.79;2.31;1.52;0.79;1.0
ZAOPATRZENIE SZKÓ£ MATEUSZ R¥CZKA;178.61;1/12/2013;178.61;ZABAWY Z BAJKAMI KRÓLEWNA ŒNIE¯KA;0.79;2.31;1.52;0.79;1.0
ZAOPATRZENIE SZKÓ£ MATEUSZ R¥CZKA;178.61;1/12/2013;178.61;ZABAWY Z BAJKAMI TRZY ŒWINKI KOT W BUTACH CZERWONY KAPTUREK KRÓLEWNA ŒNIE¯KA;0.47;1.38;0.91;0.47;1.0
ZAOPATRZENIE SZKÓ£ MATEUSZ R¥CZKA;178.61;1/12/2013;178.61;ZAPYTAJ MISIA O DOMY;1.56;2.29;1.51;0.78;2.0
ZAOPATRZENIE SZKÓ£ MATEUSZ R¥CZKA;178.61;1/12/2013;178.61;ZAPYTAJ MISIA O ZWIERZÊTA;1.56;2.29;1.51;0.78;2.0
ZAOPATRZENIE SZKÓ£ MATEUSZ R¥CZKA;178.61;1/12/2013;178.61;ZIMOWE MALOWANKI 3-4 LATA;0.78;1.15;0.76;0.39;2.0
ZAOPATRZENIE SZKÓ£ MATEUSZ R¥CZKA;178.61;1/12/2013;178.61;PUZZLE SPORT  SAMOTNY BIA£Y MATEUSZEK;13.40;4.0;3.33;0.67;20.0
ZAOPATRZENIE SZKÓ£ MATEUSZ R¥CZKA;178.61;1/12/2013;178.61;PUZZLE SPORT DEBIT;13.40;4.0;3.33;0.67;20.0
ZAOPATRZENIE SZKÓ£ MATEUSZ R¥CZKA;178.61;1/12/2013;178.61;EGIPT KSI¥¯KA Z SZABLONAMI DEBIT;23.30;9.0;6.67;2.33;10.0
ZAOPATRZENIE SZKÓ£ MATEUSZ R¥CZKA;178.61;1/12/2013;178.61;STARO¯YTNY EGIPT DEBIT;29.80;12.5;9.52;2.98;10.0
